image_id,file_name,box_id,true_height_cm,pred_height_cm,abs_error_cm,pred_std_cm,background_fraction,bbox_aspect_ratio,primary_error_category
img-00001,1774430024570838644287054889188-02631b6e.jpg,box-001,70.0,80.09553909301758,10.095539093017578,1.9900026580801877,0.6061825526886355,0.5329236172080772,early-stage sparse structure
img-00002,17744301502163781479087360760338-1fad2c6d.jpg,box-001,93.0,75.0747938156128,17.925206184387207,0.9848938519146357,0.597805092790029,0.423866090712743,residual cross-domain shift
img-00002,17744301502163781479087360760338-1fad2c6d.jpg,box-002,120.0,92.32621479034424,27.67378520965576,0.7465428837810569,0.5975365837418112,0.3659244917715392,residual cross-domain shift
img-00002,17744301502163781479087360760338-1fad2c6d.jpg,box-003,132.0,104.4285888671875,27.5714111328125,0.5803348920307733,0.59701584673261,0.32640492686682065,residual cross-domain shift
img-00003,17744301828029026857203459751808-bd8d34f7.jpg,box-001,70.0,83.4762372970581,13.476237297058105,1.6641535678477155,0.6028240127734048,0.5365344467640919,early-stage sparse structure
img-00003,17744301828029026857203459751808-bd8d34f7.jpg,box-002,132.0,114.78759288787842,17.212407112121582,1.577612409663109,0.6014143686271181,0.5393309222423146,residual cross-domain shift
img-00003,17744301828029026857203459751808-bd8d34f7.jpg,box-003,50.0,66.31722068786621,16.31722068786621,0.2625079097173781,0.5105316604972647,0.5189504373177842,early-stage sparse structure
img-00003,17744301828029026857203459751808-bd8d34f7.jpg,box-004,67.0,78.85530185699463,11.855301856994629,1.028076569435763,0.5783259724159306,0.5532407407407407,early-stage sparse structure
img-00003,17744301828029026857203459751808-bd8d34f7.jpg,box-005,93.0,138.9799289703369,45.979928970336914,4.495734543386523,0.5904887030175183,0.4469153515064562,unstable TTA prediction
img-00004,17744301993284573787410288776325-7480244a.jpg,box-001,54.0,111.78802108764648,57.788021087646484,1.9678445718804327,0.6322079711681153,0.6947565543071161,early-stage sparse structure
